image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740193045000.jpeg,ocr_empty, | ,44AT3230199080 | 3,0.767 | 0.446,"[123, 349, 210, 378] | [137, 284, 193, 325]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\1740193045000.jpeg,All OCR texts are empty. Rejected raw OCR: 44AT3230199080 | 3
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740454364000.jpeg,ok,36H-03712,,0.883,"[120, 360, 221, 412]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740585665000.jpeg,ok,89C-1723,,0.774,"[124, 346, 221, 376]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740588934000.jpeg,ocr_empty,,36CD62190660,0.915,"[94, 320, 214, 387]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\1740588934000.jpeg,All OCR texts are empty. Rejected raw OCR: 36CD62190660
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740739498922-909582179.jpg,ok,37A-00236,,0.944,"[671, 2309, 1603, 3032]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1740796691000.jpeg,ok,98EC-12231,,0.897,"[121, 355, 199, 392]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741004180000.jpeg,ok,98HN-03326,,0.954,"[107, 330, 226, 398]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741053374000.jpeg,ocr_empty,,830957,0.810,"[131, 345, 203, 386]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\1741053374000.jpeg,All OCR texts are empty. Rejected raw OCR: 830957
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741156140965-581803062.jpeg,ocr_empty,,2MD69341,0.869,"[110, 372, 231, 405]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\1741156140965-581803062.jpeg,All OCR texts are empty. Rejected raw OCR: 2MD69341
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741165526000.jpeg,ok,98CD-330.04,,0.938,"[127, 348, 210, 377]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741320839455-299673598.jpeg,ok,37H-07725,,0.956,"[94, 336, 219, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741423354000.jpeg,ok,12C-05342,,0.824,"[127, 360, 205, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741706974000.jpeg,ok,98BC-29184,,0.831,"[123, 343, 207, 387]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741781613000.jpeg,ok,99DD-01008,,0.685,"[113, 347, 223, 376]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1741921287000.jpeg,ok,19M-4766,,0.879,"[107, 361, 193, 388]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\1742713801162-105587747.jpeg,ok,37H-05687,,0.898,"[116, 354, 214, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\bien-so-xe-4.jpg,ok,73A-14953,,0.931,"[158, 203, 234, 278]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\bien-xanh-171169719787841623236.webp,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\bien-xanh-171169719787841623236.webp,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\can-canh.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\can-canh.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739747963358-3314439.jpg,ocr_empty,,D,0.264,"[537, 843, 842, 899]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739747963358-3314439.jpg,All OCR texts are empty. Rejected raw OCR: D
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739768992285-231630115.jpg,ok,37M-11317,,0.909,"[777, 2204, 1321, 2667]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739778503952-537611017.jpeg,ocr_empty,,20C270957MM,0.931,"[102, 366, 240, 405]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739778503952-537611017.jpeg,All OCR texts are empty. Rejected raw OCR: 20C270957MM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739779984230-734201540.jpg,ok,37H-01971,,0.948,"[629, 1877, 1094, 2116]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739780062858-105367903.jpg,ok,29A-04325,,0.956,"[575, 843, 958, 930]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739780326378-592263022.jpg,ok,88C-16451,,0.937,"[847, 2220, 1364, 2494]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739780738363-422680263.jpeg,ok,37H-04594,,0.883,"[124, 344, 200, 386]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739781930915-200419991.jpeg,ok,50D-4223,,0.940,"[84, 348, 253, 392]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739783027081-909278294.jpg,ocr_empty,,29Z-6009,0.935,"[456, 588, 827, 668]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739783027081-909278294.jpg,All OCR texts are empty. Rejected raw OCR: 29Z-6009
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739783232861-595510309.jpg,ok,99H-02530,,0.928,"[525, 553, 767, 672]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739786737604-772058546.jpeg,ok,37CC-29506,,0.962,"[154, 363, 215, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739787406441-885355957.jpeg,ok,36H-05598,,0.944,"[111, 355, 224, 410]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739791872926-880295133.jpg,ok,37H-02621,,0.899,"[548, 1528, 895, 1717]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739792080133-681609697.jpeg,ok,37H-02557,,0.903,"[55, 285, 312, 414]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739795030155-723950318.jpg,ok,37H-07725,,0.935,"[727, 2256, 1419, 2610]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739796596424-11058592.jpg,ok,34F-01266,,0.925,"[437, 909, 559, 992]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739801069660-76637970.jpg,ok,89C-28807,,0.928,"[538, 666, 896, 758]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739801493326-617409300.jpeg,ok,20C-04080,,0.850,"[115, 355, 199, 402]",,At least one OCR text has a valid Vietnamese plate format.
